iter	RMSE
0	13461.91593
1	13390.5056
2	13322.9542
3	13265.66507
4	13206.03799
5	13147.76586
6	13090.74625
7	13031.94867
8	12971.37202
9	12908.91513
10	12849.30005
11	12791.50813
12	12732.33383
13	12674.89987
14	12621.00493
15	12565.80756
16	12515.16325
17	12456.13353
18	12407.56482
19	12353.02666
20	12299.30213
21	12251.17402
22	12196.88293
23	12141.63298
24	12093.8937
25	12045.45976
26	11998.71758
27	11953.06748
28	11910.23801
29	11867.78526
30	11822.34549
31	11776.88459
32	11730.66652
33	11690.53938
34	11644.70296
35	11609.31934
36	11568.029
37	11527.26905
38	11486.41447
39	11450.75014
40	11408.02955
41	11371.68699
42	11336.57614
43	11294.57725
44	11256.91879
45	11217.4305
46	11188.33776
47	11156.89257
48	11122.46649
49	11084.19573
50	11050.4917
51	11015.32671
52	10978.93646
53	10943.85776
54	10912.57408
55	10882.25195
56	10850.1459
57	10817.03478
58	10785.76455
59	10758.86748
60	10728.32504
61	10694.74017
62	10668.88395
63	10641.22837
64	10615.72763
65	10591.83595
66	10563.56056
67	10539.66344
68	10513.32889
69	10484.41026
70	10459.51896
71	10436.66384
72	10415.72971
73	10386.32318
74	10362.61077
75	10335.75392
76	10307.8368
77	10293.0819
78	10270.54968
79	10248.02001
80	10225.04207
81	10201.31622
82	10177.6443
83	10153.11017
84	10133.82172
85	10108.62842
86	10086.81148
87	10065.68434
88	10044.82638
89	10025.36452
90	10003.41496
91	9982.229231
92	9962.073031
93	9941.537201
94	9924.841498
95	9904.033457
96	9887.577789
97	9866.550202
98	9843.194178
99	9826.852816
100	9810.622615
101	9788.442999
102	9769.22754
103	9747.390063
104	9734.34976
105	9718.767985
106	9699.807422
107	9682.210527
108	9665.49283
109	9649.306375
110	9633.187076
111	9616.959839
112	9599.193158
113	9581.839343
114	9566.664836
115	9550.395466
116	9538.24744
117	9522.185362
118	9504.615838
119	9487.307119
120	9471.597916
121	9458.434088
122	9444.409852
123	9430.265908
124	9416.490623
125	9404.059165
126	9389.587105
127	9376.688976
128	9361.49354
129	9349.009377
130	9335.340199
131	9322.227577
132	9306.352274
133	9295.973603
134	9282.594837
135	9269.464348
136	9257.332099
137	9241.381378
138	9228.761541
139	9216.743982
140	9205.019448
141	9194.872969
142	9183.312573
143	9170.388126
144	9162.219962
145	9147.808741
146	9137.806414
147	9127.878002
148	9122.050503
149	9112.78738
150	9102.941882
151	9091.850793
152	9081.787542
153	9070.628609
154	9060.402307
155	9050.89911
156	9037.391863
157	9026.288513
158	9012.909812
159	9004.3745
160	8993.584024
161	8984.208353
162	8974.501666
163	8961.836652
164	8952.584649
165	8944.47665
166	8935.154333
167	8922.218852
168	8913.261045
169	8904.372457
170	8896.453728
171	8891.779036
172	8883.089107
173	8871.608872
174	8864.071609
175	8859.812451
176	8851.215888
177	8844.661469
178	8837.580441
179	8828.431885
180	8819.532536
181	8808.760919
182	8800.444053
183	8792.625061
184	8783.437377
185	8774.767512
186	8767.685766
187	8760.608143
188	8750.387382
189	8740.496344
190	8733.082383
191	8725.516306
192	8718.442784
193	8710.668755
194	8703.661925
195	8697.261898
196	8689.960873
197	8682.622129
198	8678.498703
199	8670.217077
200	8661.627796
201	8657.176619
202	8651.033163
203	8643.501287
204	8635.535752
205	8628.144714
206	8621.879732
207	8615.437276
208	8608.287115
209	8601.827377
210	8597.371289
211	8588.713509
212	8584.406531
213	8578.784507
214	8572.216542
215	8566.726717
216	8556.623054
217	8549.955266
218	8544.890933
219	8538.107211
220	8529.509851
221	8522.231459
222	8518.105634
223	8513.049711
224	8508.212187
225	8504.444052
226	8495.529651
227	8489.041855
228	8482.776063
229	8477.045153
230	8472.124592
231	8465.974766
232	8460.374636
233	8456.728861
234	8451.488752
235	8446.797379
236	8442.99307
237	8435.423046
238	8431.212085
239	8425.036418
240	8417.834642
241	8414.408894
242	8410.101078
243	8406.913597
244	8403.695748
245	8398.942019
246	8393.119022
247	8387.375605
248	8381.811629
249	8378.150667
250	8373.053366
251	8367.100736
252	8363.346416
253	8353.453963
254	8350.511968
255	8346.047517
256	8342.427616
257	8341.47879
258	8337.575495
259	8332.867677
260	8328.733417
261	8323.167833
262	8318.872352
263	8314.530554
264	8309.750337
265	8304.406474
266	8296.417768
267	8291.834478
268	8287.908219
269	8285.34945
270	8280.963014
271	8276.099709
272	8270.358723
273	8269.159534
274	8264.430833
275	8261.018188
276	8257.58785
277	8253.919042
278	8252.141297
279	8249.371427
280	8246.218157
281	8242.733543
282	8239.700704
283	8233.779038
284	8231.025473
285	8222.824311
286	8219.275199
287	8214.504426
288	8210.493613
289	8206.332758
290	8200.804591
291	8196.723167
292	8195.905959
293	8192.685206
294	8187.392536
295	8184.487778
296	8181.728017
297	8177.645171
298	8174.591844
299	8171.022701
300	8168.241105
301	8164.742426
302	8158.611441
303	8155.753803
304	8151.568358
305	8150.729085
306	8146.832875
307	8141.703998
308	8136.738121
309	8132.345327
310	8128.38189
311	8122.664578
312	8117.925802
313	8110.869799
314	8107.36431
315	8103.582105
316	8100.902144
317	8097.069008
318	8092.585595
319	8090.667543
320	8085.416798
321	8082.128615
322	8077.078375
323	8075.204909
324	8072.177442
325	8066.074724
326	8063.795801
327	8061.160897
328	8058.160418
329	8056.197256
330	8052.561595
331	8050.388477
332	8044.727201
333	8042.546607
334	8038.529441
335	8035.572893
336	8032.445326
337	8029.809075
338	8026.760586
339	8021.193582
340	8014.762228
341	8011.578779
342	8009.151207
343	8007.520205
344	8004.426123
345	8001.182963
346	8000.648402
347	7999.280498
348	7995.857395
349	7990.941144
350	7988.767659
351	7985.823383
352	7982.352186
353	7980.063905
354	7977.618956
355	7974.856768
356	7972.720059
357	7970.228571
358	7968.268204
359	7965.040476
360	7963.227158
361	7960.986224
362	7958.437557
363	7954.723967
364	7951.153036
365	7947.382779
366	7944.983693
367	7940.454318
368	7937.557542
369	7934.76105
370	7933.463088
371	7927.043132
372	7921.635732
373	7919.623504
374	7918.119826
375	7917.732613
376	7915.499544
377	7914.823981
378	7912.673304
379	7909.475756
380	7906.564082
381	7904.214967
382	7898.706869
383	7895.637504
384	7891.909553
385	7890.194054
386	7887.293424
387	7885.444276
388	7883.810882
389	7879.446105
390	7874.321534
391	7873.741304
392	7872.337274
393	7870.837357
394	7868.624202
395	7865.41773
396	7862.132611
397	7859.250356
398	7856.591089
399	7855.709109
400	7853.087128
401	7851.544755
402	7848.637133
403	7845.127704
404	7842.706629
405	7839.997424
406	7839.01791
407	7835.600706
408	7831.613606
409	7825.597917
410	7820.769904
411	7819.425957
412	7817.223209
413	7814.533849
414	7813.26864
415	7811.344302
416	7809.900121
417	7806.837071
418	7802.729371
419	7802.163469
420	7800.664157
421	7796.796464
422	7793.722817
423	7791.567849
424	7789.00916
425	7787.563883
426	7783.451927
427	7781.572998
428	7779.564781
429	7779.234957
430	7776.620156
431	7773.872797
432	7772.513617
433	7770.126311
434	7768.738082
435	7762.866152
436	7759.540016
437	7755.705495
438	7753.689658
439	7752.317589
440	7750.269241
441	7749.488161
442	7747.103316
443	7744.336582
444	7742.644896
445	7740.129498
446	7735.564707
447	7733.336712
448	7730.318856
449	7728.634452
450	7727.634368
451	7725.364254
452	7723.731337
453	7722.346751
454	7716.697034
455	7713.582895
456	7711.890336
457	7708.885435
458	7706.983893
459	7705.06968
460	7702.104294
