iter	Passed	Remaining
0	76	381229
1	95	237945
2	113	188905
3	130	163098
4	147	147045
5	162	135539
6	180	128684
7	197	123346
8	214	119030
9	231	115685
10	249	112978
11	265	110193
12	281	107857
13	297	105993
14	313	104235
15	329	102586
16	344	101120
17	361	100084
18	379	99422
19	395	98562
20	411	97599
21	429	97099
22	445	96462
23	461	95739
24	477	94968
25	492	94273
26	507	93555
27	523	92996
28	540	92686
29	558	92455
30	574	92087
31	591	91799
32	608	91612
33	626	91473
34	644	91360
35	661	91193
36	676	90775
37	693	90592
38	710	90401
39	726	90100
40	744	89997
41	761	89910
42	779	89849
43	798	89988
44	815	89847
45	832	89679
46	850	89584
47	867	89537
48	884	89354
49	900	89192
50	917	89061
51	935	88973
52	951	88833
53	969	88797
54	988	88844
55	1005	88787
56	1024	88804
57	1041	88741
58	1058	88653
59	1074	88490
60	1091	88413
61	1109	88341
62	1125	88200
63	1141	88048
64	1158	87929
65	1175	87871
66	1191	87713
67	1207	87562
68	1223	87468
69	1240	87399
70	1257	87308
71	1275	87274
72	1286	86826
73	1303	86797
74	1321	86749
75	1336	86611
76	1353	86551
77	1362	85951
78	1378	85853
79	1395	85823
80	1412	85807
81	1430	85790
82	1447	85741
83	1464	85685
84	1480	85611
85	1497	85588
86	1514	85511
87	1531	85480
88	1549	85492
89	1566	85473
90	1583	85447
91	1601	85423
92	1618	85388
93	1635	85383
94	1652	85319
95	1668	85253
96	1687	85300
97	1704	85258
98	1721	85226
99	1739	85251
100	1757	85239
101	1773	85153
102	1789	85084
103	1806	85045
104	1823	85007
105	1840	84978
106	1856	84911
107	1874	84891
108	1893	84955
109	1911	84991
110	1931	85060
111	1949	85084
112	1970	85240
113	1990	85303
114	2009	85354
115	2030	85510
116	2042	85254
117	2061	85308
118	2083	85443
119	2102	85500
120	2120	85517
121	2141	85620
122	2163	85781
123	2179	85723
124	2196	85663
125	2213	85635
126	2229	85542
127	2246	85497
128	2263	85487
129	2282	85488
130	2299	85472
131	2316	85433
132	2333	85395
133	2348	85296
134	2365	85243
135	2381	85160
136	2396	85083
137	2412	85005
138	2430	84987
139	2447	84951
140	2464	84927
141	2481	84907
142	2497	84824
143	2514	84782
144	2528	84676
145	2545	84621
146	2559	84511
147	2576	84471
148	2585	84163
149	2601	84125
150	2617	84065
151	2635	84044
152	2650	83980
153	2666	83901
154	2683	83894
155	2700	83849
156	2717	83823
157	2735	83832
158	2753	83831
159	2770	83807
160	2787	83776
161	2805	83795
162	2823	83775
163	2840	83759
164	2857	83742
165	2874	83721
166	2891	83691
167	2909	83680
168	2925	83633
169	2942	83602
170	2961	83640
171	2970	83377
172	2987	83363
173	3004	83345
174	3022	83332
175	3031	83077
176	3048	83074
177	3067	83087
178	3084	83075
179	3104	83142
180	3128	83292
181	3151	83440
182	3174	83567
183	3196	83651
184	3217	83752
185	3240	83869
186	3263	83994
187	3285	84106
188	3306	84157
189	3324	84150
190	3341	84130
191	3358	84108
192	3375	84064
193	3392	84031
194	3409	84010
195	3426	83993
196	3444	83967
197	3461	83949
198	3473	83798
199	3490	83763
200	3506	83727
201	3523	83685
202	3540	83661
203	3557	83645
204	3575	83631
205	3592	83607
206	3610	83610
207	3627	83582
208	3644	83555
209	3661	83518
210	3674	83400
211	3690	83355
212	3707	83321
213	3723	83284
214	3741	83262
215	3757	83210
216	3773	83175
217	3789	83130
218	3805	83080
219	3821	83034
220	3838	83010
221	3856	82994
222	3866	82823
223	3882	82769
224	3898	82730
225	3914	82685
226	3930	82654
227	3948	82633
228	3965	82608
229	3983	82614
230	4000	82594
231	4017	82559
232	4033	82525
233	4049	82484
234	4066	82447
235	4082	82412
236	4097	82339
237	4112	82290
238	4128	82251
239	4144	82200
240	4160	82150
241	4176	82110
242	4193	82083
243	4209	82055
244	4227	82053
245	4245	82047
246	4263	82042
247	4280	82023
248	4300	82059
249	4317	82040
250	4334	82004
251	4351	81993
252	4369	81993
253	4386	81958
254	4396	81814
255	4413	81781
256	4430	81760
257	4436	81539
258	4446	81393
259	4462	81362
260	4479	81337
261	4496	81306
262	4512	81272
263	4527	81218
264	4543	81177
265	4558	81134
266	4575	81106
267	4590	81057
268	4607	81025
269	4622	80985
270	4638	80947
271	4655	80920
272	4671	80886
273	4679	80714
274	4696	80693
275	4714	80690
276	4730	80662
